"Gender","Age","WorkType","Position","V1","V2r","V3","V4","V5","V6","V7","SDS1r","SDaw2","SDS3r","SDaw4","SDS5r","SDaw6","SDS7r","SDaw8","SDS9r","SDaw10","MF1","MF2","MF3","MF4","MF5","MF6","MF7","MF8","MF9","MF10","MF11","MF12","MF13","MF14","MF15","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","mach1","mach2","mach3","mach4","mach5","mach6","mach7","mach8","mach9","narc1","narc2","narc3","narc4","narc5","narc6","narc7","narc8","narc9","psy1","psy2","psy3","psy4","psy5","psy6","psy7","psy8","psy9","Energia","Uvedomovanie","Agentnost","Sustredenost","Smerovanie","Tlak","Vazby","Zdatnost","Pochybnosti","Izolacia","Zdroje","Bariery","Presadzovanie","Potreba_uznania","Indiferentnost","AgeCLASS1","AgeCLASS2","AgeCLASS3","weight1","weight2","weight3","ZGender","ZAge","ZWorkType","ZPosition","ZVitality","ZSelf_Awareness","ZChoice_Perception","ZMindfulness","ZS_Autonomy","ZF_Autonomy","ZS_Relatedness","ZS_Competency","ZF_Competency","ZF_Relatedness","ZNeeds_satisfaction","ZNeeds_frustration","ZMachiavellianism","ZNarcissism","ZPsychopathy"
1,31,1,0,6,3,7,6,6,5,5,3,4,4,4,4,5,4,5,4,5,5,5,5,5,4,1,4,5,4,5,2,3,4,5,5,4,2,4,1,4,2,4,2,5,1,4,2,4,2,4,1,5,2,4,2,4,2,5,2,3,2,2,3,3,1,3,3,4,3,4,3,2,4,2,1,1,4,2,3,1,3,3,1,1,1,1,5.42857142857143,4.6,3.8,4.13333333333333,4,2,4.25,4.5,2,1.25,4.25,1.75,2.66666666666667,2.66666666666667,1.77777777777778,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.348142705946946,1.70343960404871,-0.678645233146201,0.532027759566745,0.470551164538575,0.177624626420926,-0.0163335594403852,0.0917217245206013,-0.557453275497888,0.263876514091025,0.372191262676343,-0.159677239210338,-0.60513362606556,0.291516471047402,-0.522587152277342,-0.269949008366771,-0.102405262955878,-0.324317229718539
0,30,1,0,4,2,6,5,5,4,4,3,4,3,4,3,4,2,4,3,4,4,3,3,4,2,1,2,2,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,3,3,3,3,3,2,3,3,3,1,3,4,2,2,2,2,2,2,3,3,3,4,2,4,2,2,2,2,1,2,1,1,3,1,1,4.28571428571429,4,2.8,2.46666666666667,3,3.25,3,3.25,3,2.5,3.08333333333333,2.91666666666667,2.33333333333333,2.77777777777778,1.55555555555556,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.468432579581917,1.70343960404871,-0.678645233146201,-0.451468351178087,-0.341253494204126,-0.8570476507427,-2.13391449573709,-1.19567781006795,0.789074422118615,-1.42424179657861,-1.22213680697526,0.88580725439029,0.922033922919878,-1.53552793573102,1.04670457440029,-0.719352755250086,0.0555144320234535,-0.653407959787912
1,36,1,0,5,6,6,6,5,4,5,5,4,4,4,4,5,5,4,4,5,4,2,4,3,3,1,3,4,3,3,3,6,3,4,6,4,2,5,1,5,1,4,1,5,1,5,4,5,1,5,2,5,1,4,4,5,2,5,2,5,5,4,4,4,2,4,4,5,3,4,5,4,5,4,4,5,4,5,4,4,4,4,4,1,1,4,5.28571428571429,4.4,4.4,3.46666666666667,4.25,2,5,5,2,1.5,4.75,1.83333333333333,4.11111111111111,4.22222222222222,3.44444444444444,NA,2,NA,NA,0.4,NA,0.929926776408983,0.25330666222791,1.70343960404871,-0.678645233146201,0.40909074572364,0.199949611624342,0.798427992719102,-0.863365933959066,0.413571608167739,-0.557453275497888,1.2767475004928,1.00992249053698,-0.159677239210338,-0.299700116268473,1.07453550252387,-0.410494886086082,1.67746722812759,2.10847046675477,2.14386324580176
1,31,0,0,6,5,2,6,5,2,3,5,5,3,5,3,5,4,5,5,5,6,3,6,1,1,2,5,2,5,3,1,5,6,2,2,4,3,5,1,4,2,4,2,5,1,4,4,4,3,5,1,4,4,4,2,5,1,3,2,4,4,3,2,4,1,2,3,4,5,4,4,4,4,4,4,5,4,2,4,2,4,4,4,4,4,2,4.14285714285714,5,4,3.33333333333333,4,2.5,5,3.75,3,1,4.25,2.16666666666667,3,4.22222222222222,3.33333333333333,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.348142705946946,-0.586045735337861,-0.678645233146201,-0.57440536502119,1.01175427036704,0.384559081853652,-1.0327724088628,0.0917217245206013,-0.0188421964512869,1.2767475004928,-0.584405579114617,0.88580725439029,-0.910567135862648,0.291516471047402,0.0378741786789563,0.179454738516544,2.10847046675477,1.97931788076707
1,38,1,1,5,5,5,7,5,4,6,2,5,4,5,4,5,4,5,4,5,5,6,6,5,6,2,6,6,3,6,6,6,6,5,6,5,1,5,1,3,3,5,2,5,1,4,1,5,4,4,1,5,3,3,2,5,1,3,2,3,2,5,2,1,1,2,2,2,3,3,3,2,2,3,1,3,4,1,2,1,1,1,1,1,1,2,5.28571428571429,5,3.6,5.33333333333333,4.5,2.25,4.75,3.75,2.25,1,4.33333333333333,1.83333333333333,2.22222222222222,2.66666666666667,1.22222222222222,NA,2,NA,NA,0.4,NA,0.929926776408983,0.493886409497852,1.70343960404871,1.47100939725204,0.40909074572364,1.01175427036704,-0.0293098290117988,1.50832471469324,0.735421491814876,-0.288147735974587,0.939123838358878,-0.584405579114617,0.101693884189819,-0.910567135862648,0.422019642960146,-0.410494886086082,-0.869154004211191,-0.102405262955878,-1.14704405489197
1,25,0,0,6,6,6,6,7,6,7,4,2,3,5,5,4,3,5,4,5,5,6,6,6,4,2,5,6,6,5,5,6,4,6,6,5,2,3,1,4,1,3,2,5,1,5,1,5,1,5,1,4,2,5,1,5,2,4,1,5,1,2,4,2,1,2,3,3,2,2,2,1,4,3,1,2,2,1,1,1,1,1,1,1,1,1,6.28571428571429,4.2,3.8,5.2,4.5,1.5,4.5,4.25,1.25,1.25,4.41666666666667,1.33333333333333,2.55555555555556,2.11111111111111,1,NA,2,NA,NA,0.4,NA,0.929926776408983,-1.06988194775677,-0.586045735337861,-0.678645233146201,1.26964984262537,-0.0706519412898917,0.177624626420926,1.3389182397895,0.735421491814876,-1.09606435454449,0.601500176224951,0.0533256487460231,-0.943790609410809,-0.60513362606556,0.552522814872891,-1.08304848323364,-0.419750257327877,-0.892003737852536,-1.47613478496134
0,42,1,1,6,6,2,6,7,6,6,5,5,5,5,5,5,5,5,4,5,3,6,6,5,4,5,5,6,5,6,5,5,5,5,6,5,1,4,1,4,1,5,1,4,1,5,1,5,4,5,1,5,1,5,1,4,1,5,1,5,1,1,1,1,1,2,1,4,4,4,3,1,3,5,2,4,3,1,5,1,1,1,1,3,1,1,5.57142857142857,5,4.8,5.13333333333333,5,1.75,4.25,4.75,1,1,4.66666666666667,1.25,1.88888888888889,3.22222222222222,1.66666666666667,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.975045904037736,1.70343960404871,1.47100939725204,0.654964773409848,1.01175427036704,1.21229690358455,1.25421500233764,1.37912125910915,-0.826758815021189,0.263876514091025,0.691056876606663,-1.20516173281097,-0.910567135862648,0.944032330611124,-1.1951407494249,-1.31855775109451,0.68719321194078,-0.488862594753225
1,35,0,0,5,3,6,6,6,4,5,2,5,1,4,3,5,1,5,3,5,5,6,4,2,4,1,3,4,3,3,2,6,2,3,3,3,3,5,3,4,2,3,3,5,1,4,4,5,5,5,1,4,3,2,3,5,1,3,2,3,2,3,5,5,3,4,3,3,2,4,4,3,4,1,1,1,5,1,1,1,1,4,3,1,3,1,5,4.8,2,3.4,3.25,3.5,5,3.75,2.75,1.5,4,2.58333333333333,3.44444444444444,2.77777777777778,1.77777777777778,NA,2,NA,NA,0.4,NA,0.929926776408983,0.133016788592939,-0.586045735337861,-0.678645233146201,0.163216718037433,0.741152717452809,-1.6847854724736,-0.948069171410934,-0.873827926420811,1.05837996164192,1.2767475004928,-0.584405579114617,0.624436130990133,-0.299700116268473,-0.0999930446908302,0.598335509635255,0.778659734360964,0.0555144320234535,-0.324317229718539
1,32,0,0,6,6,6,6,3,5,6,2,5,4,5,5,5,5,5,4,5,5,4,6,2,2,2,3,5,5,5,4,6,6,5,4,4,2,2,1,4,1,4,1,3,1,5,2,5,3,4,1,5,2,4,3,4,2,4,1,4,2,1,3,1,1,3,2,4,4,2,1,2,3,2,1,3,3,1,2,1,1,2,1,2,1,1,5.42857142857143,5,4,4.26666666666667,4.25,2.25,3.25,4.5,1.5,1.25,4,1.66666666666667,2.33333333333333,2.33333333333333,1.33333333333333,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.227852832311975,-0.586045735337861,-0.678645233146201,0.532027759566745,1.01175427036704,0.384559081853652,0.15307291546335,0.413571608167739,-0.288147735974587,-1.08661813444468,0.372191262676343,-0.682419486010652,-0.60513362606556,-0.0999930446908302,-0.634679418468602,-0.719352755250086,-0.576164347893873,-0.982498689857284
1,36,0,0,6,6,4,5,7,7,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,3,6,6,6,6,6,6,4,6,6,6,5,1,5,1,5,1,1,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5.85714285714286,5,5,5.66666666666667,4,1,5,5,1,1,4.66666666666667,1,1.88888888888889,1.88888888888889,1,NA,2,NA,NA,0.4,NA,0.929926776408983,0.25330666222791,-0.586045735337861,-0.678645233146201,0.900838801096056,1.01175427036704,1.41923135901728,1.93184090195258,0.0917217245206013,-1.63467543359109,1.2767475004928,1.00992249053698,-1.20516173281097,-0.910567135862648,0.944032330611124,-1.53141754799868,-1.31855775109451,-1.2078431278112,-1.47613478496134
